product,call_reason,call_reason_l2,broad_theme_l3,intermediate_theme_l4,granular_theme_l5,exact_problem_statement,digital_friction,key_solution,policy_friction,friction_driver_category
Rewards,Rewards & Loyalty,Redemption Issue,Points Earning,Points Transfer,Promotional Points Missing,Customer was downgraded from Platinum to Gold tier without any warning or notification. Lost access to airport lounge benefit.,"Tier status and benefits are displayed on a page that hasn't been updated for mobile. Tier progress bar doesn't show spend needed for next tier.
No proactive notification before tier downgrade -- customer only discovers it when trying to use a benefit.","Show tier progress bar with exact spend needed for retention/upgrade. Send 90-day and 30-day tier expiry warnings.
List all tier benefits clearly with real-time access status (active/at risk).",No,Policy Restriction
AAdvantage,Profile & Settings,Notification Preferences,Account Lifecycle,Communication Preferences,Phone Update Requires Branch Visit,Customer moved to a new state but the address update on the app keeps saying 'Address could not be verified' for their new apartment.,"Address validation uses a strict USPS database that doesn't recognize new constructions or apartment complexes less than 6 months old.
App doesn't offer manual address override or 'use this address anyway' option when validation fails.","Add 'Use this address anyway' override with attestation checkbox when USPS validation fails.
Update address database more frequently and support new construction addresses with unit number variations.",No,System Bug/Outage
Rewards,Authentication & Access,Biometric Login Failure,Device Management,Biometric Auth,Biometric Fallback Missing,Customer cannot log in because OTP is not being delivered to their phone. They've waited 15 minutes and tried 3 times.,"OTP delivery via SMS has 30-60 second delays during peak hours. No fallback to email or authenticator app OTP.
The 'Resend OTP' button has a 60-second cooldown with no visible timer showing remaining wait time.","Add email and authenticator app as OTP fallback channels. Show countdown timer on resend button.
Implement push notification OTP that doesn't depend on SMS delivery.",No,Third-party Dependency
ATT,Payments & Transfers,Balance Transfer,Billing,P2P Payment,Balance Transfer Promo Mismatch,Payment to credit card failed with 'unable to verify account' error when using the mobile app to pay from external bank.,"External bank linking flow fails silently on certain bank integrations. The 'Verify Account' step times out after 30 seconds.
No option to manually enter routing/account numbers as fallback when instant verification fails.","Implement fallback manual account entry when instant verification fails. Extend timeout to 60 seconds.
Cache linked bank details securely so customers don't need to re-verify for subsequent payments.",No,Process Gap
ATT,Profile & Settings,Phone Number Update,Account Preferences,Account Closure Process,Email Change Delayed Verification,Customer moved to a new state but the address update on the app keeps saying 'Address could not be verified' for their new apartment.,"Address validation uses a strict USPS database that doesn't recognize new constructions or apartment complexes less than 6 months old.
App doesn't offer manual address override or 'use this address anyway' option when validation fails.","Add 'Use this address anyway' override with attestation checkbox when USPS validation fails.
Update address database more frequently and support new construction addresses with unit number variations.",Yes,UI/UX Flaw
Cash,Fraud & Disputes,Card Replacement,Card Security,Credit Provisioning,Dispute Form Too Complex,Customer got a fraud alert for an online purchase and clicked 'Not Me' but the transaction still went through on their account.,"Fraud alert response 'Not Me' doesn't automatically create a dispute case. Customer must separately call to initiate the dispute.
Real-time fraud blocking has a 30-second processing delay during which the fraudulent transaction can complete.","Auto-create dispute case when customer responds 'Not Me' to fraud alert. Block transaction in real-time before completion.
Reduce fraud alert processing to under 5 seconds to prevent fraudulent transactions from completing.",Yes,System Bug/Outage
ATT,Profile & Settings,Email Update,Account Lifecycle,Privacy Settings,Phone Update Requires Branch Visit,Customer had a legal name change and uploaded their court order document but the upload keeps failing with 'File too large' error.,"Document upload has a 2MB file size limit which rejects most phone camera photos. No image compression built in.
Supported format list (PDF, JPG) is only shown after upload failure. HEIC from iPhone is not supported.","Increase upload limit to 10MB with built-in image compression. Support HEIC, PNG, PDF, JPG formats.
Show supported formats and size limits before upload attempt with built-in camera capture option.",Yes,System Bug/Outage
Rewards,Fraud & Disputes,Unauthorized Transaction,Dispute Resolution,Fraud Investigation,Chargeback Timeline Unclear,Customer's card was compromised and they need a replacement but expedited shipping costs $25. Standard shipping takes 7-10 business days.,"Replacement card ordering doesn't show estimated delivery date. Expedited shipping option is expensive and not clearly presented.
Digital card number for immediate online use is not offered during the replacement process.","Show estimated delivery date for replacement cards. Offer instant digital card number for immediate online use.
Provide free expedited shipping for fraud-related replacements.",Yes,Process Gap
Cash,Fraud & Disputes,Provisional Credit,Dispute Resolution,Card Controls,Investigation Status Opaque,Customer got a fraud alert for an online purchase and clicked 'Not Me' but the transaction still went through on their account.,"Fraud alert response 'Not Me' doesn't automatically create a dispute case. Customer must separately call to initiate the dispute.
Real-time fraud blocking has a 30-second processing delay during which the fraudulent transaction can complete.","Auto-create dispute case when customer responds 'Not Me' to fraud alert. Block transaction in real-time before completion.
Reduce fraud alert processing to under 5 seconds to prevent fraudulent transactions from completing.",No,Process Gap
Costco,Profile & Settings,Account Closure,Account Lifecycle,Account Closure Process,Notification Toggle Missing,Customer wants to close their account but the app says 'Visit a branch or call us'. There's no online closure option.,"Account closure requires calling or visiting a branch. No digital self-service option even for zero-balance accounts.
The closure process takes 30+ days with no status tracking and requires 3 separate confirmation steps.","Enable digital account closure for zero-balance accounts with no outstanding obligations.
Provide closure status tracking and reduce processing time to 5 business days with clear timeline.",Yes,Information Gap
Rewards,Authentication & Access,Account Locked,Account Security,MFA/OTP,Session Timeout Too Short,MFA setup wizard crashes on Android when trying to set up the authenticator app. Falls back to SMS which customer doesn't want.,"MFA authenticator app setup generates a QR code that's too small to scan on some Android devices. Manual key entry is hidden.
No ability to set preferred MFA method -- defaults to SMS even after setting up authenticator app.","Generate larger QR codes with zoom option. Show manual setup key prominently alongside QR.
Let users set preferred MFA method in security settings and remember the preference.",Yes,Third-party Dependency
AAdvantage,Rewards & Loyalty,Earn Rate Question,Loyalty Tier,Points Transfer,Partner Transfer Delay,Customer made $300 in grocery purchases last month but points for the 3x category bonus weren't credited. Regular 1x points were applied.,"Category bonus tracking in the app doesn't show which merchants qualify for enhanced earning rates. No real-time earn rate preview.
Bonus category spend progress is only visible in the rewards section, not on the transaction detail screen.","Show merchant earning rate preview on each transaction. Display bonus category progress on the main rewards dashboard.
Add real-time earn rate indicator on transaction detail screens with qualifying merchant badge.",No,System Bug/Outage
ATT,Fraud & Disputes,Provisional Credit,Fraud Prevention,Fraud Investigation,Chargeback Timeline Unclear,Customer got a fraud alert for an online purchase and clicked 'Not Me' but the transaction still went through on their account.,"Fraud alert response 'Not Me' doesn't automatically create a dispute case. Customer must separately call to initiate the dispute.
Real-time fraud blocking has a 30-second processing delay during which the fraudulent transaction can complete.","Auto-create dispute case when customer responds 'Not Me' to fraud alert. Block transaction in real-time before completion.
Reduce fraud alert processing to under 5 seconds to prevent fraudulent transactions from completing.",No,System Bug/Outage
ATT,Fraud & Disputes,Fraud Alert,Fraud Prevention,Suspicious Activity,Fraud Alert False Positive,Customer got a fraud alert text about a $12 coffee purchase they actually made. Now their card is blocked and they can't unblock it from the app.,"Fraud alerts via SMS have a 'Yes/No' response but responding 'Yes it's me' doesn't auto-unblock the card. Must call to remove the hold.
False positive rate on fraud detection is high for small recurring charges and online subscriptions.","Auto-unblock card immediately when customer confirms 'Yes it's me' on fraud alert. Tune fraud models to reduce false positives.
Allow customers to whitelist recurring merchants and subscription services to prevent false positives.",No,Policy Restriction
Costco,Profile & Settings,Address Change,Account Lifecycle,Document Verification,Account Closure Multi-Step Burden,Customer wants to add their spouse as an authorized user but the form requires a SSN and the spouse is reluctant to enter it online.,"Authorized user form requires SSN entry on a single page with all other info. No explanation of why SSN is needed or how it's protected.
No option for the authorized user to enter their own SSN via a secure separate link.","Allow authorized user to complete their sensitive info via a separate secure tokenized link.
Explain SSN requirement with privacy policy link and show security badge on the form.",Yes,System Bug/Outage
Rewards,Authentication & Access,Account Locked,Sign On,Biometric Auth,Device Registration Loop,MFA setup wizard crashes on Android when trying to set up the authenticator app. Falls back to SMS which customer doesn't want.,"MFA authenticator app setup generates a QR code that's too small to scan on some Android devices. Manual key entry is hidden.
No ability to set preferred MFA method -- defaults to SMS even after setting up authenticator app.","Generate larger QR codes with zoom option. Show manual setup key prominently alongside QR.
Let users set preferred MFA method in security settings and remember the preference.",No,Process Gap
Rewards,Authentication & Access,OTP Not Received,Sign On,Session Handling,Device Registration Loop,Customer got a new phone and now has to re-register the device. The registration process asks for a code sent to old phone number.,"Device registration sends verification code to the phone number on file which may be outdated. No email verification option.
New device registration invalidates all other trusted devices forcing re-authentication everywhere.","Allow email-based device verification as alternative to SMS. Don't invalidate other devices on new registration.
Provide 'Transfer Trust' flow that migrates device trust from old phone via QR code scan.",Yes,Process Gap
Costco,Authentication & Access,Biometric Login Failure,Account Security,Biometric Auth,Biometric Fallback Missing,Customer got a new phone and now has to re-register the device. The registration process asks for a code sent to old phone number.,"Device registration sends verification code to the phone number on file which may be outdated. No email verification option.
New device registration invalidates all other trusted devices forcing re-authentication everywhere.","Allow email-based device verification as alternative to SMS. Don't invalidate other devices on new registration.
Provide 'Transfer Trust' flow that migrates device trust from old phone via QR code scan.",Yes,Third-party Dependency
AAdvantage,Authentication & Access,Device Registration,Account Security,Biometric Auth,Biometric Fallback Missing,Password reset link in email expired before customer could use it. The link is only valid for 15 minutes.,"Password reset email link expires in 15 minutes which is too short. The reset page doesn't indicate time remaining.
Password requirements are only shown after a failed attempt, not proactively during creation.","Extend password reset link validity to 60 minutes. Show expiry countdown on the reset page.
Display password requirements upfront with real-time validation checkmarks during creation.",No,System Bug/Outage
AAdvantage,Payments & Transfers,Payment Failed,Fund Transfer,Scheduled Payment,Refund Not Reflected,Bill pay scheduled for the 15th was processed on the 13th causing an overdraft in the linked checking account.,"Bill pay date picker doesn't clearly indicate processing time (1-3 business days). Calendar UI cuts off on smaller screens.
No confirmation screen showing the exact date funds will be withdrawn from the linked account.","Show fund withdrawal date clearly during bill pay setup. Add processing time tooltip. Fix calendar UI for small screens.
Implement confirmation screen with exact debit date and option to edit before final submission.",Yes,Process Gap
Cash,Transactions & Statements,Duplicate Charge,Charge Inquiry,Transaction Search,Statement PDF Download Failure,Customer doesn't recognize a charge labeled 'DBI*MGMT FEE' on their statement. Wants to know what it is before disputing.,"Merchant names in transaction list use payment processor codes instead of recognizable business names (e.g., 'SQ *COFFEE' instead of 'Blue Bottle Coffee').
No merchant category or location info displayed to help customers identify charges.","Implement merchant name enrichment using merchant category codes and location data. Show business names instead of processor codes.
Add merchant logo, category icon, and map location for in-store transactions.",Yes,UI/UX Flaw
Rewards,Rewards & Loyalty,Points Expiry,Rewards Redemption,Travel Redemption,Points Not Credited,Customer's cashback was posted as points instead of statement credit. They can't find where to change their redemption preference.,"Cashback redemption preference setting is hidden under Rewards > Settings > Preferences > Redemption Method (4 levels deep).
No way to set default redemption for all future cashback -- must choose each time.","Move redemption preference to top-level rewards settings (1 tap from dashboard). Add 'Set as default' option.
Allow customers to set auto-redemption rules (e.g., auto statement credit every 5,000 points).",No,UI/UX Flaw
Cash,Authentication & Access,OTP Not Received,Sign On,Trusted Device,Password Complexity Rejection,MFA setup wizard crashes on Android when trying to set up the authenticator app. Falls back to SMS which customer doesn't want.,"MFA authenticator app setup generates a QR code that's too small to scan on some Android devices. Manual key entry is hidden.
No ability to set preferred MFA method -- defaults to SMS even after setting up authenticator app.","Generate larger QR codes with zoom option. Show manual setup key prominently alongside QR.
Let users set preferred MFA method in security settings and remember the preference.",No,Policy Restriction
Cash,Profile & Settings,Email Update,Account Preferences,Privacy Settings,Name Change Document Upload Error,Customer wants to turn off promotional email notifications but the app only has an on/off toggle for ALL notifications including alerts.,"Notification settings are binary all-or-nothing. No granular control over transaction alerts vs marketing vs security notifications.
Push notification preferences don't sync with email notification preferences -- managed separately.","Implement granular notification preferences: Security Alerts, Transaction Alerts, Account Updates, Marketing.
Sync notification preferences across push, email, and SMS channels from a single settings page.",Yes,UI/UX Flaw
ATT,Rewards & Loyalty,Points Balance,Rewards Redemption,Anniversary Bonus,Redemption Minimum Too High,Customer's cashback was posted as points instead of statement credit. They can't find where to change their redemption preference.,"Cashback redemption preference setting is hidden under Rewards > Settings > Preferences > Redemption Method (4 levels deep).
No way to set default redemption for all future cashback -- must choose each time.","Move redemption preference to top-level rewards settings (1 tap from dashboard). Add 'Set as default' option.
Allow customers to set auto-redemption rules (e.g., auto statement credit every 5,000 points).",No,UI/UX Flaw
Cash,Profile & Settings,Email Update,Personal Info Update,Contact Information,Email Change Delayed Verification,Customer changed their email address but verification email was sent to the OLD email address which they no longer have access to.,"Email change verification is sent to the OLD email as a 'security measure' but customers changing email often lost access to the old one.
No alternative verification path using SMS or identity documents for email changes.","Send email change verification to the NEW email with additional SMS verification to the phone on file.
Offer identity document upload as alternative verification when customer can't access old email.",Yes,Third-party Dependency
Rewards,Payments & Transfers,Refund Delay,Billing,Scheduled Payment,Duplicate Payment Deduction,Customer's refund from a disputed transaction was approved 2 weeks ago but still not reflected in the account balance.,"Refund tracking is hidden under Statement > Transactions > Pending. No dedicated refund status page.
The app doesn't distinguish between merchant refunds and dispute credits making it confusing for customers.","Create dedicated refund tracking dashboard. Separate merchant refunds from dispute credits with clear labels.
Add push notification when refund posts and estimated timeline during pending status.",No,Third-party Dependency
Cash,Authentication & Access,Account Locked,Sign On,Biometric Auth,Account Lockout After 3 Attempts,Face ID stopped working on the app after the latest iOS update. No option to fall back to fingerprint or PIN in the app.,"Biometric authentication has no graceful fallback chain. If Face ID fails there's no option for fingerprint then PIN.
App requires full password re-entry when biometric fails instead of offering simpler alternatives.","Build biometric fallback chain: Face ID -> Fingerprint -> Device PIN -> Password. Implement graceful degradation.
Allow customers to configure preferred biometric method in app settings.",Yes,Process Gap
Costco,Payments & Transfers,Refund Delay,Billing,Wire Transfer,Duplicate Payment Deduction,Customer's refund from a disputed transaction was approved 2 weeks ago but still not reflected in the account balance.,"Refund tracking is hidden under Statement > Transactions > Pending. No dedicated refund status page.
The app doesn't distinguish between merchant refunds and dispute credits making it confusing for customers.","Create dedicated refund tracking dashboard. Separate merchant refunds from dispute credits with clear labels.
Add push notification when refund posts and estimated timeline during pending status.",Yes,Third-party Dependency
Cash,Profile & Settings,Address Change,Personal Info Update,Document Verification,Notification Toggle Missing,Customer had a legal name change and uploaded their court order document but the upload keeps failing with 'File too large' error.,"Document upload has a 2MB file size limit which rejects most phone camera photos. No image compression built in.
Supported format list (PDF, JPG) is only shown after upload failure. HEIC from iPhone is not supported.","Increase upload limit to 10MB with built-in image compression. Support HEIC, PNG, PDF, JPG formats.
Show supported formats and size limits before upload attempt with built-in camera capture option.",No,Process Gap
Costco,Payments & Transfers,Bill Pay Problem,Fund Transfer,P2P Payment,Auto Pay Enrollment Failure,Bill pay scheduled for the 15th was processed on the 13th causing an overdraft in the linked checking account.,"Bill pay date picker doesn't clearly indicate processing time (1-3 business days). Calendar UI cuts off on smaller screens.
No confirmation screen showing the exact date funds will be withdrawn from the linked account.","Show fund withdrawal date clearly during bill pay setup. Add processing time tooltip. Fix calendar UI for small screens.
Implement confirmation screen with exact debit date and option to edit before final submission.",No,Third-party Dependency
Rewards,Payments & Transfers,Auto Pay Issue,Payment Processing,ACH Processing,Balance Transfer Promo Mismatch,Bill pay scheduled for the 15th was processed on the 13th causing an overdraft in the linked checking account.,"Bill pay date picker doesn't clearly indicate processing time (1-3 business days). Calendar UI cuts off on smaller screens.
No confirmation screen showing the exact date funds will be withdrawn from the linked account.","Show fund withdrawal date clearly during bill pay setup. Add processing time tooltip. Fix calendar UI for small screens.
Implement confirmation screen with exact debit date and option to edit before final submission.",No,Process Gap
Costco,Profile & Settings,Email Update,Account Preferences,Account Closure Process,Phone Update Requires Branch Visit,Customer wants to close their account but the app says 'Visit a branch or call us'. There's no online closure option.,"Account closure requires calling or visiting a branch. No digital self-service option even for zero-balance accounts.
The closure process takes 30+ days with no status tracking and requires 3 separate confirmation steps.","Enable digital account closure for zero-balance accounts with no outstanding obligations.
Provide closure status tracking and reduce processing time to 5 business days with clear timeline.",Yes,System Bug/Outage
Costco,Profile & Settings,Account Closure,Account Preferences,Communication Preferences,Name Change Document Upload Error,Customer changed their email address but verification email was sent to the OLD email address which they no longer have access to.,"Email change verification is sent to the OLD email as a 'security measure' but customers changing email often lost access to the old one.
No alternative verification path using SMS or identity documents for email changes.","Send email change verification to the NEW email with additional SMS verification to the phone on file.
Offer identity document upload as alternative verification when customer can't access old email.",Yes,Third-party Dependency
Cash,Fraud & Disputes,Provisional Credit,Dispute Resolution,Credit Provisioning,Card Lock Self-Service Missing,Customer wants to lock their card temporarily while they look for it at home. The app only offers 'Report Lost/Stolen' which permanently cancels the card.,"App only offers permanent card cancellation -- no temporary lock/unlock toggle. Customer must call to place a temporary hold.
The 'Report Lost/Stolen' flow immediately orders a new card and deactivates the current one with no confirmation step.","Add temporary card lock/unlock toggle on the card management screen. Separate from 'Report Lost/Stolen' flow.
Add confirmation step before permanent card cancellation with explanation of the difference.",Yes,Third-party Dependency
AAdvantage,Payments & Transfers,Refund Delay,Billing,Wire Transfer,Bill Pay Scheduling Error,Auto Pay was set up but the payment didn't go through this month. Customer was charged a late fee as a result.,"Auto Pay enrollment screen doesn't confirm the payment date clearly. The toggle switch for auto pay on/off is buried under 'More Options'.
Customer cannot see scheduled auto pay details without navigating to a separate 'Scheduled Payments' section.","Redesign Auto Pay setup with clear date confirmation and summary screen. Surface auto pay status on account dashboard.
Send payment confirmation notifications 2 days before and immediately after auto pay execution.",No,Third-party Dependency
Costco,Transactions & Statements,Unrecognized Charge,Transaction History,PDF Statement,Transaction Search Not Working,Transaction search only works with exact merchant names. Searching 'amazon' doesn't find 'AMZN MKTP US' or 'Amazon.com'.,"Transaction search uses exact string matching only. No fuzzy search, no merchant category filters, no amount range filters.
Search results don't highlight matching terms or sort by relevance -- just reverse chronological order.","Add fuzzy search with merchant category filters and amount range sliders. Support partial name matching.
Highlight search matches in results and add relevance-based sorting alongside chronological.",Yes,Third-party Dependency
Cash,Payments & Transfers,Bill Pay Problem,Payment Processing,Payment Reversal,Balance Transfer Promo Mismatch,Wire transfer initiated from the app was stuck in pending for 5 business days. Branch says it was never submitted.,"Wire transfer form on app doesn't save beneficiary details. Customer must re-enter all fields for repeat transfers.
The intermediary bank field is required but no guidance is provided on when it's needed or how to find it.","Save beneficiary details for wire transfers. Add smart form that shows/hides intermediary bank field based on destination.
Pre-populate fields from previous transfers with one-tap repeat transfer option.",Yes,Policy Restriction
Rewards,Payments & Transfers,Balance Transfer,Billing,ACH Processing,Balance Transfer Promo Mismatch,Wire transfer initiated from the app was stuck in pending for 5 business days. Branch says it was never submitted.,"Wire transfer form on app doesn't save beneficiary details. Customer must re-enter all fields for repeat transfers.
The intermediary bank field is required but no guidance is provided on when it's needed or how to find it.","Save beneficiary details for wire transfers. Add smart form that shows/hides intermediary bank field based on destination.
Pre-populate fields from previous transfers with one-tap repeat transfer option.",No,Process Gap
ATT,Rewards & Loyalty,Points Balance,Points Earning,Category Bonus,Tier Downgrade Surprise,Customer's cashback was posted as points instead of statement credit. They can't find where to change their redemption preference.,"Cashback redemption preference setting is hidden under Rewards > Settings > Preferences > Redemption Method (4 levels deep).
No way to set default redemption for all future cashback -- must choose each time.","Move redemption preference to top-level rewards settings (1 tap from dashboard). Add 'Set as default' option.
Allow customers to set auto-redemption rules (e.g., auto statement credit every 5,000 points).",No,UI/UX Flaw
Rewards,Payments & Transfers,Bill Pay Problem,Payment Processing,P2P Payment,Balance Transfer Promo Mismatch,Auto Pay was set up but the payment didn't go through this month. Customer was charged a late fee as a result.,"Auto Pay enrollment screen doesn't confirm the payment date clearly. The toggle switch for auto pay on/off is buried under 'More Options'.
Customer cannot see scheduled auto pay details without navigating to a separate 'Scheduled Payments' section.","Redesign Auto Pay setup with clear date confirmation and summary screen. Surface auto pay status on account dashboard.
Send payment confirmation notifications 2 days before and immediately after auto pay execution.",Yes,System Bug/Outage
Costco,Rewards & Loyalty,Promotional Offer,Points Earning,Anniversary Bonus,Promotional Points Missing,Customer's anniversary bonus points from last year haven't been credited. Account anniversary was 3 months ago.,"Anniversary bonus posting timeline is not documented anywhere in the app. No tracker showing when bonus will be credited.
Account anniversary date is not displayed in the app -- customer can't verify when it is.","Display anniversary bonus posting timeline and account anniversary date prominently in rewards section.
Send push notification when anniversary bonus is credited or if there's a delay.",No,UI/UX Flaw
Rewards,Transactions & Statements,Statement Download,Statement Access,Statement Delivery,Statement PDF Download Failure,Transaction search only works with exact merchant names. Searching 'amazon' doesn't find 'AMZN MKTP US' or 'Amazon.com'.,"Transaction search uses exact string matching only. No fuzzy search, no merchant category filters, no amount range filters.
Search results don't highlight matching terms or sort by relevance -- just reverse chronological order.","Add fuzzy search with merchant category filters and amount range sliders. Support partial name matching.
Highlight search matches in results and add relevance-based sorting alongside chronological.",No,Information Gap
Costco,Payments & Transfers,Bill Pay Problem,Billing,Payment Reversal,Balance Transfer Promo Mismatch,Customer's payment was declined even though they have sufficient balance. The app shows 'Transaction Failed' with no error code.,"App payment flow requires 7 taps to complete a simple payment. Error messages are generic ('Something went wrong') with no actionable guidance.
No retry mechanism exists -- customer must restart the entire payment flow after a failure.","Simplify payment flow to 3 taps maximum. Replace generic errors with specific codes and retry button.
Add payment status push notifications and in-app payment history with clear success/fail indicators.",Yes,Third-party Dependency
Cash,Transactions & Statements,Statement Error,Statement Access,PDF Statement,Transaction Search Not Working,Customer doesn't recognize a charge labeled 'DBI*MGMT FEE' on their statement. Wants to know what it is before disputing.,"Merchant names in transaction list use payment processor codes instead of recognizable business names (e.g., 'SQ *COFFEE' instead of 'Blue Bottle Coffee').
No merchant category or location info displayed to help customers identify charges.","Implement merchant name enrichment using merchant category codes and location data. Show business names instead of processor codes.
Add merchant logo, category icon, and map location for in-store transactions.",No,UI/UX Flaw
ATT,Rewards & Loyalty,Points Balance,Rewards Redemption,Travel Redemption,Points Not Credited,Customer's anniversary bonus points from last year haven't been credited. Account anniversary was 3 months ago.,"Anniversary bonus posting timeline is not documented anywhere in the app. No tracker showing when bonus will be credited.
Account anniversary date is not displayed in the app -- customer can't verify when it is.","Display anniversary bonus posting timeline and account anniversary date prominently in rewards section.
Send push notification when anniversary bonus is credited or if there's a delay.",Yes,UI/UX Flaw
Rewards,Payments & Transfers,Payment Failed,Payment Processing,ACH Processing,Balance Transfer Promo Mismatch,Wire transfer initiated from the app was stuck in pending for 5 business days. Branch says it was never submitted.,"Wire transfer form on app doesn't save beneficiary details. Customer must re-enter all fields for repeat transfers.
The intermediary bank field is required but no guidance is provided on when it's needed or how to find it.","Save beneficiary details for wire transfers. Add smart form that shows/hides intermediary bank field based on destination.
Pre-populate fields from previous transfers with one-tap repeat transfer option.",No,Policy Restriction
Costco,Fraud & Disputes,Unauthorized Transaction,Dispute Resolution,Credit Provisioning,Provisional Credit Delay,Customer wants to lock their card temporarily while they look for it at home. The app only offers 'Report Lost/Stolen' which permanently cancels the card.,"App only offers permanent card cancellation -- no temporary lock/unlock toggle. Customer must call to place a temporary hold.
The 'Report Lost/Stolen' flow immediately orders a new card and deactivates the current one with no confirmation step.","Add temporary card lock/unlock toggle on the card management screen. Separate from 'Report Lost/Stolen' flow.
Add confirmation step before permanent card cancellation with explanation of the difference.",Yes,System Bug/Outage
Rewards,Authentication & Access,OTP Not Received,Device Management,Trusted Device,Password Complexity Rejection,Customer keeps getting logged out every 5 minutes while trying to complete an application. Has to re-authenticate each time.,"Session timeout is set to 5 minutes with no activity detection. Background app refresh counts as inactivity.
No 'Keep me logged in' or 'Remember this device' option for trusted personal devices.","Extend session timeout to 15 minutes with active idle detection. Exclude background refresh from inactivity.
Add 'Remember Device' option for 30/60/90 days on personal devices.",No,Policy Restriction
AAdvantage,Authentication & Access,Device Registration,Device Management,Password Management,Account Lockout After 3 Attempts,Customer cannot log in because OTP is not being delivered to their phone. They've waited 15 minutes and tried 3 times.,"OTP delivery via SMS has 30-60 second delays during peak hours. No fallback to email or authenticator app OTP.
The 'Resend OTP' button has a 60-second cooldown with no visible timer showing remaining wait time.","Add email and authenticator app as OTP fallback channels. Show countdown timer on resend button.
Implement push notification OTP that doesn't depend on SMS delivery.",No,Information Gap
Cash,Fraud & Disputes,Card Replacement,Card Security,Suspicious Activity,Investigation Status Opaque,Customer got a fraud alert for an online purchase and clicked 'Not Me' but the transaction still went through on their account.,"Fraud alert response 'Not Me' doesn't automatically create a dispute case. Customer must separately call to initiate the dispute.
Real-time fraud blocking has a 30-second processing delay during which the fraudulent transaction can complete.","Auto-create dispute case when customer responds 'Not Me' to fraud alert. Block transaction in real-time before completion.
Reduce fraud alert processing to under 5 seconds to prevent fraudulent transactions from completing.",No,Process Gap
Cash,Profile & Settings,Phone Number Update,Account Lifecycle,Communication Preferences,Phone Update Requires Branch Visit,Customer changed their email address but verification email was sent to the OLD email address which they no longer have access to.,"Email change verification is sent to the OLD email as a 'security measure' but customers changing email often lost access to the old one.
No alternative verification path using SMS or identity documents for email changes.","Send email change verification to the NEW email with additional SMS verification to the phone on file.
Offer identity document upload as alternative verification when customer can't access old email.",No,System Bug/Outage
AAdvantage,Rewards & Loyalty,Points Balance,Loyalty Tier,Anniversary Bonus,Promotional Points Missing,"Customer signed up for a 60,000 point welcome bonus offer but only received 40,000 after meeting the spend requirement.","Welcome bonus tracker doesn't show qualifying spend progress in real-time. Updated only once per statement cycle.
Bonus terms and qualifying purchase exclusions are in fine print that's hard to read on mobile.","Add real-time welcome bonus spend tracker on the rewards dashboard with progress bar and days remaining.
List qualifying and non-qualifying purchase categories clearly with specific merchant examples.",Yes,Third-party Dependency
Rewards,Transactions & Statements,Statement Error,Statement Access,Real-time Posting,Merchant Name Mismatch,Pending transactions show different amounts than final posted amounts. Customer was charged $45.67 but pending showed $40.00.,"Pending transaction amounts are the authorization hold amount not the final charge. No explanation that final amount may differ.
App doesn't update pending amounts when merchant sends a different settlement amount.","Show both authorization and expected final amounts for pending transactions. Add tooltip explaining holds.
Push notification when pending amount differs from final posted amount by more than 10%.",No,Process Gap
ATT,Fraud & Disputes,Fraud Alert,Card Security,Credit Provisioning,Investigation Status Opaque,Customer wants to lock their card temporarily while they look for it at home. The app only offers 'Report Lost/Stolen' which permanently cancels the card.,"App only offers permanent card cancellation -- no temporary lock/unlock toggle. Customer must call to place a temporary hold.
The 'Report Lost/Stolen' flow immediately orders a new card and deactivates the current one with no confirmation step.","Add temporary card lock/unlock toggle on the card management screen. Separate from 'Report Lost/Stolen' flow.
Add confirmation step before permanent card cancellation with explanation of the difference.",No,UI/UX Flaw
ATT,Transactions & Statements,Duplicate Charge,Statement Access,Real-time Posting,Statement PDF Download Failure,Customer doesn't recognize a charge labeled 'DBI*MGMT FEE' on their statement. Wants to know what it is before disputing.,"Merchant names in transaction list use payment processor codes instead of recognizable business names (e.g., 'SQ *COFFEE' instead of 'Blue Bottle Coffee').
No merchant category or location info displayed to help customers identify charges.","Implement merchant name enrichment using merchant category codes and location data. Show business names instead of processor codes.
Add merchant logo, category icon, and map location for in-store transactions.",No,System Bug/Outage
ATT,Rewards & Loyalty,Points Expiry,Loyalty Tier,Travel Redemption,Promotional Points Missing,Customer used their card at a gas station but didn't get the 5x gas category bonus. The merchant coded as 'convenience store'.,"Merchant category code (MCC) used for bonus determination is not visible to the customer. No way to report incorrect merchant coding.
Category bonus exclusions (gas stations inside grocery stores, warehouse clubs) are not clearly explained.","Show the MCC code and category assigned to each transaction. Allow customers to flag incorrect merchant categorization.
Clearly list category bonus exclusions with examples on the rewards earning rules page.",Yes,System Bug/Outage
Rewards,Authentication & Access,Device Registration,Device Management,Session Handling,Biometric Fallback Missing,Customer got a new phone and now has to re-register the device. The registration process asks for a code sent to old phone number.,"Device registration sends verification code to the phone number on file which may be outdated. No email verification option.
New device registration invalidates all other trusted devices forcing re-authentication everywhere.","Allow email-based device verification as alternative to SMS. Don't invalidate other devices on new registration.
Provide 'Transfer Trust' flow that migrates device trust from old phone via QR code scan.",No,Process Gap
